date,district,commodity,price_rp_kg,level,week
2023-01-02,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,32500,2,2022-12-27
2023-01-03,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,34500,2,2023-01-03
2023-01-04,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,34500,2,2023-01-03
2023-01-05,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,34500,2,2023-01-03
2023-01-06,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,34500,2,2023-01-03
2023-01-09,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,37000,2,2023-01-03
2023-01-10,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,37000,2,2023-01-10
2023-01-11,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,37000,2,2023-01-10
2023-01-12,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,37000,2,2023-01-10
2023-01-13,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,37000,2,2023-01-10
2023-01-16,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,37000,2,2023-01-10
2023-01-17,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,37000,2,2023-01-17
2023-01-18,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,37000,2,2023-01-17
2023-01-19,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,37000,2,2023-01-17
2023-01-20,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,37000,2,2023-01-17
2023-01-23,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,37000,2,2023-01-17
2023-01-24,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,37000,2,2023-01-24
2023-01-25,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,37000,2,2023-01-24
2023-01-26,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,37000,2,2023-01-24
2023-01-27,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,37000,2,2023-01-24
2023-01-30,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,37000,2,2023-01-24
2023-01-31,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,37000,2,2023-01-31
2023-02-01,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,37000,2,2023-01-31
2023-02-02,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,37000,2,2023-01-31
2023-02-03,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,37000,2,2023-01-31
2023-02-06,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,37000,2,2023-01-31
2023-02-07,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,37000,2,2023-02-07
2023-02-08,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,37000,2,2023-02-07
2023-02-09,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,38000,2,2023-02-07
2023-02-10,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,38000,2,2023-02-07
2023-02-13,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,38000,2,2023-02-07
2023-02-14,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,38000,2,2023-02-14
2023-02-15,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,38000,2,2023-02-14
2023-02-16,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,38000,2,2023-02-14
2023-02-17,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,38000,2,2023-02-14
2023-02-20,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,38000,2,2023-02-14
2023-02-21,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,37000,2,2023-02-21
2023-02-22,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,36000,2,2023-02-21
2023-02-23,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,33500,2,2023-02-21
2023-02-24,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,33500,2,2023-02-21
2023-02-27,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,33500,2,2023-02-21
2023-02-28,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,33500,2,2023-02-28
2023-03-01,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,33500,2,2023-02-28
2023-03-02,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,33500,2,2023-02-28
2023-03-03,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,33500,2,2023-02-28
2023-03-06,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,33500,2,2023-02-28
2023-03-07,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,33500,2,2023-03-07
2023-03-08,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,34500,2,2023-03-07
2023-03-09,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,34500,2,2023-03-07
2023-03-10,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,34500,2,2023-03-07
2023-03-13,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,34500,2,2023-03-07
2023-03-14,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,34500,2,2023-03-14
2023-03-15,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,34500,2,2023-03-14
2023-03-16,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,34500,2,2023-03-14
2023-03-17,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,33500,2,2023-03-14
2023-03-20,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,33500,2,2023-03-14
2023-03-21,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,33500,2,2023-03-21
