feature,importance
price_pct_change,0.4715115562717862
month,0.05909974564158572
supply_ndvi_4wk_trend,0.053974077586592874
rain_lag1,0.053321696904507186
rain_lag2,0.05125529582780209
rain_4wk_sum,0.049069421782629255
supply_ndvi_lag3,0.04506121663459899
supply_ndvi_lag4,0.04403702081585522
local_ndvi_lag2,0.03857681451197569
stress_x_distance,0.03447660533325219
supply_ndvi_lag2,0.034411931954384606
local_ndvi_lag3,0.03374753619113213
is_wet_season,0.016805901714764915
min_travel_hrs,0.0072676639638726255
min_distance_km,0.006526384648772157
flood_risk_lag1,0.0008571302164879377
